Unicode(s)	Character(s)	Glyph name	Character name(s)	Notes
014B	ŋ	eng	LATIN SMALL LETTER ENG	optional: IPA; also in AAR2R
0255	ɕ	uni0255	LATIN SMALL LETTER C WITH CURL	optional: IPA; also in AAR4R and AAR5R
0259	ə	uni0259	LATIN SMALL LETTER SCHWA	optional: IPA; also in AAR2R
025B	ɛ	uni025B	LATIN SMALL LETTER OPEN E	optional: IPA; also in AAR2R
0261	ɡ	uni0261	LATIN SMALL LETTER SCRIPT G	optional: IPA; also in AAR2R
026F	ɯ	uni026F	LATIN SMALL LETTER TURNED M	optional: IPA; also in AAR5R
0274	ɴ	uni0274	LATIN LETTER SMALL CAPITAL N	optional: IPA
0281	ʁ	uni0281	LATIN LETTER SMALL CAPITAL INVERTED R	optional: IPA; also in AAR4R
028F	ʏ	uni028F	LATIN LETTER SMALL CAPITAL Y	optional: IPA
0291	ʑ	uni0291	LATIN SMALL LETTER Z WITH CURL	optional: IPA; also in AAR5R
02A6	ʦ	uni02A6	LATIN SMALL LETTER TS DIGRAPH	optional: IPA; also in AAR4R and AAR5R
02A7	ʧ	uni02A7	LATIN SMALL LETTER TESH DIGRAPH	optional: IPA; also in AAR2R
02A8	ʨ	uni02A8	LATIN SMALL LETTER TC DIGRAPH WITH CURL	optional: IPA; also in AAR5R
0074,0361,0283	t͡ʃ	uni007403610283	LATIN SMALL LETTER T, COMBINING DOUBLE INVERTED BREVE, LATIN SMALL LETTER ESH	optional: IPA, combined; also in AAR2R
