Unicode(s)	Character(s)	Glyph name	Character name(s)	Notes
01F4	Ǵ	uni01F4	LATIN CAPITAL LETTER G WITH ACUTE	
01F5	ǵ	uni01F5	LATIN SMALL LETTER G WITH ACUTE	
1E26	Ḧ	uni1E26	LATIN CAPITAL LETTER H WITH DIAERESIS	
1E27	ḧ	uni1E27	LATIN SMALL LETTER H WITH DIAERESIS	
1E3A	Ḻ	uni1E3A	LATIN CAPITAL LETTER L WITH LINE BELOW	
1E3B	ḻ	uni1E3B	LATIN SMALL LETTER L WITH LINE BELOW	
1E5E	Ṟ	uni1E5E	LATIN CAPITAL LETTER R WITH LINE BELOW	
1E5F	ṟ	uni1E5F	LATIN SMALL LETTER R WITH LINE BELOW	
1E60	Ṡ	uni1E60	LATIN CAPITAL LETTER S WITH DOT ABOVE	also in AAR4R
1E61	ṡ	uni1E61	LATIN SMALL LETTER S WITH DOT ABOVE	also in AAR4R
1E8C	Ẍ	uni1E8C	LATIN CAPITAL LETTER X WITH DIAERESIS	
1E8D	ẍ	uni1E8D	LATIN SMALL LETTER X WITH DIAERESIS	
1EA0	Ạ	uni1EA0	LATIN CAPITAL LETTER A WITH DOT BELOW	also in AAR4R
1EA1	ạ	uni1EA1	LATIN SMALL LETTER A WITH DOT BELOW	also in AAR4R
0301	́	acutecomb	COMBINING ACUTE ACCENT	
0308	̈	uni0308	COMBINING DIAERESIS	
0042,0324	B̤	uni00420324	LATIN CAPITAL LETTER B, COMBINING DIAERESIS BELOW	optional: combined
0044,0301	D́	uni00440301	LATIN CAPITAL LETTER D, COMBINING ACUTE ACCENT	optional: combined
0044,0324	D̤	uni00440324	LATIN CAPITAL LETTER D, COMBINING DIAERESIS BELOW	optional: combined
0047,0308	G̈	uni00470308	LATIN CAPITAL LETTER G, COMBINING DIAERESIS	optional: combined
004A,0308	J̈	uni004A0308	LATIN CAPITAL LETTER J, COMBINING DIAERESIS	optional: combined
0052,0304	R̄	uni00520304	LATIN CAPITAL LETTER R, COMBINING MACRON	optional: combined
0054,0301	T́	uni00540301	LATIN CAPITAL LETTER T, COMBINING ACUTE ACCENT	optional: combined
0058,0301	X́	uni00580301	LATIN CAPITAL LETTER X, COMBINING ACUTE ACCENT	optional: combined
0058,0331	X̱	uni00580331	LATIN CAPITAL LETTER X, COMBINING MACRON BELOW	optional: combined
0062,0324	b̤	uni00620324	LATIN SMALL LETTER B, COMBINING DIAERESIS BELOW	optional: combined
0064,0301	d́	uni00640301	LATIN SMALL LETTER D, COMBINING ACUTE ACCENT	optional: combined
0064,0324	d̤	uni00640324	LATIN SMALL LETTER D, COMBINING DIAERESIS BELOW	optional: combined
0067,0308	g̈	uni00670308	LATIN SMALL LETTER G, COMBINING DIAERESIS	optional: combined
006A,0308	j̈	uni006A0308	LATIN SMALL LETTER J, COMBINING DIAERESIS	optional: combined
0072,0304	r̄	uni00720304	LATIN SMALL LETTER R, COMBINING MACRON	optional: combined
0074,0301	t́	uni00740301	LATIN SMALL LETTER T, COMBINING ACUTE ACCENT	optional: combined
0078,0301	x́	uni00780301	LATIN SMALL LETTER X, COMBINING ACUTE ACCENT	optional: combined
0078,0331	x̱	uni00780331	LATIN SMALL LETTER X, COMBINING MACRON BELOW	optional: combined
0167	ŧ	tbar	LATIN SMALL LETTER T WITH STROKE	optional: IPA
0253	ɓ	uni0253	LATIN SMALL LETTER B WITH HOOK	optional: IPA; also in AAR4R
0255	ɕ	uni0255	LATIN SMALL LETTER C WITH CURL	optional: IPA; also in AAR3R and AAR4R
0257	ɗ	uni0257	LATIN SMALL LETTER D WITH HOOK	optional: IPA
025F	ɟ	uni025F	LATIN SMALL LETTER DOTLESS J WITH STROKE	optional: IPA
0260	ɠ	uni0260	LATIN SMALL LETTER G WITH HOOK	optional: IPA; also in AAR4R
026F	ɯ	uni026F	LATIN SMALL LETTER TURNED M	optional: IPA; also in AAR3R
0272	ɲ	uni0272	LATIN SMALL LETTER N WITH LEFT HOOK	optional: IPA; also in AAR4R
0282	ʂ	uni0282	LATIN SMALL LETTER S WITH HOOK	optional: IPA; also in AAR4R
0284	ʄ	uni0284	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK	optional: IPA; also in AAR4R
028C	ʌ	uni028C	LATIN SMALL LETTER TURNED V	optional: IPA
0290	ʐ	uni0290	LATIN SMALL LETTER Z WITH RETROFLEX HOOK	optional: IPA
0291	ʑ	uni0291	LATIN SMALL LETTER Z WITH CURL	optional: IPA; also in AAR3R
02A3	ʣ	uni02A3	LATIN SMALL LETTER DZ DIGRAPH	optional: IPA; also in AAR4R
02A5	ʥ	uni02A5	LATIN SMALL LETTER DZ DIGRAPH WITH CURL	optional: IPA
02A6	ʦ	uni02A6	LATIN SMALL LETTER TS DIGRAPH	optional: IPA; also in AAR3R and AAR4R
