Unicode(s)	Character(s)	Glyph name	Character name(s)	Notes
0120	Ġ	Gdotaccent	LATIN CAPITAL LETTER G WITH DOT ABOVE	
0121	ġ	gdotaccent	LATIN SMALL LETTER G WITH DOT ABOVE	
01E6	Ǧ	Gcaron	LATIN CAPITAL LETTER G WITH CARON	
01E7	ǧ	gcaron	LATIN SMALL LETTER G WITH CARON	
1E0E	Ḏ	uni1E0E	LATIN CAPITAL LETTER D WITH LINE BELOW	
1E0F	ḏ	uni1E0F	LATIN SMALL LETTER D WITH LINE BELOW	
1E10	Ḑ	uni1E10	LATIN CAPITAL LETTER D WITH CEDILLA	
1E11	ḑ	uni1E11	LATIN SMALL LETTER D WITH CEDILLA	
1E28	Ḩ	uni1E28	LATIN CAPITAL LETTER H WITH CEDILLA	
1E29	ḩ	uni1E29	LATIN SMALL LETTER H WITH CEDILLA	
1E2A	Ḫ	uni1E2A	LATIN CAPITAL LETTER H WITH BREVE BELOW	
1E2B	ḫ	uni1E2B	LATIN SMALL LETTER H WITH BREVE BELOW	
1E6E	Ṯ	uni1E6E	LATIN CAPITAL LETTER T WITH LINE BELOW	
1E6F	ṯ	uni1E6F	LATIN SMALL LETTER T WITH LINE BELOW	
1E94	Ẕ	uni1E94	LATIN CAPITAL LETTER Z WITH LINE BELOW	
1E95	ẕ	uni1E95	LATIN SMALL LETTER Z WITH LINE BELOW	
1E96	ẖ	uni1E96	LATIN SMALL LETTER H WITH LINE BELOW	
1E97	ẗ	uni1E97	LATIN SMALL LETTER T WITH DIAERESIS	
1EF2	Ỳ	Ygrave	LATIN CAPITAL LETTER Y WITH GRAVE	
1EF3	ỳ	ygrave	LATIN SMALL LETTER Y WITH GRAVE	
02BE	ʾ	uni02BE	MODIFIER LETTER RIGHT HALF RING	
02C8	ˈ	uni02C8	MODIFIER LETTER VERTICAL LINE	
02CC	ˌ	uni02CC	MODIFIER LETTER LOW VERTICAL LINE	
0327	̧	uni0327	COMBINING CEDILLA	
0331	̱	uni0331	COMBINING MACRON BELOW	
035F	͟	uni035F	COMBINING DOUBLE MACRON BELOW	
0048,0331	H̱	uni00480331	LATIN CAPITAL LETTER H, COMBINING MACRON BELOW	optional: combined
0053,0331	S̱	uni00530331	LATIN CAPITAL LETTER S, COMBINING MACRON BELOW	optional: combined
0054,0308	T̈	uni00540308	LATIN CAPITAL LETTER T, COMBINING DIAERESIS	optional: combined
005A,0327	Z̧	uni005A0327	LATIN CAPITAL LETTER Z, COMBINING CEDILLA	optional: combined
0073,0331	s̱	uni00730331	LATIN SMALL LETTER S, COMBINING MACRON BELOW	optional: combined
007A,0327	z̧	uni007A0327	LATIN SMALL LETTER Z, COMBINING CEDILLA	optional: combined
0064,035F,0068	d͟h	uni0064035F0068	LATIN SMALL LETTER D, COMBINING DOUBLE MACRON BELOW, LATIN SMALL LETTER H	optional: combined
0127	ħ	hbar	LATIN SMALL LETTER H WITH STROKE	optional: IPA
1E0D	ḍ	uni1E0D	LATIN SMALL LETTER D WITH DOT BELOW	optional: IPA
1E25	ḥ	uni1E25	LATIN SMALL LETTER H WITH DOT BELOW	optional: IPA
1E63	ṣ	uni1E63	LATIN SMALL LETTER S WITH DOT BELOW	optional: IPA
1E6D	ṭ	uni1E6D	LATIN SMALL LETTER T WITH DOT BELOW	optional: IPA
1E93	ẓ	uni1E93	LATIN SMALL LETTER Z WITH DOT BELOW	optional: IPA
AB53	ꭓ	uniAB53	LATIN SMALL LETTER CHI	optional: IPA
0251	ɑ	uni0251	LATIN SMALL LETTER ALPHA	optional: IPA
0262	ɢ	uni0262	LATIN LETTER SMALL CAPITAL G	optional: IPA
0263	ɣ	uni0263	LATIN SMALL LETTER GAMMA	optional: IPA
0268	ɨ	uni0268	LATIN SMALL LETTER I WITH STROKE	optional: IPA
026A	ɪ	uni026A	LATIN LETTER SMALL CAPITAL I	optional: IPA
026B	ɫ	uni026B	LATIN SMALL LETTER L WITH MIDDLE TILDE	optional: IPA
027E	ɾ	uni027E	LATIN SMALL LETTER R WITH FISHHOOK	optional: IPA
0283	ʃ	uni0283	LATIN SMALL LETTER ESH	optional: IPA
0289	ʉ	uni0289	LATIN SMALL LETTER U BAR	optional: IPA
028A	ʊ	uni028A	LATIN SMALL LETTER UPSILON	optional: IPA
0292	ʒ	uni0292	LATIN SMALL LETTER EZH	optional: IPA
0294	ʔ	uni0294	LATIN LETTER GLOTTAL STOP	optional: IPA
0295	ʕ	uni0295	LATIN LETTER PHARYNGEAL VOICED FRICATIVE	optional: IPA
029C	ʜ	uni029C	LATIN LETTER SMALL CAPITAL H	optional: IPA
02A2	ʢ	uni02A2	LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE	optional: IPA
02A4	ʤ	uni02A4	LATIN SMALL LETTER DEZH DIGRAPH	optional: IPA
03B8	θ	theta	GREEK SMALL LETTER THETA	optional: IPA
02B0	ʰ	uni02B0	MODIFIER LETTER SMALL H	optional: IPA
02BB	ʻ	uni02BB	MODIFIER LETTER TURNED COMMA	optional: IPA
02BC	ʼ	uni02BC	MODIFIER LETTER APOSTROPHE	optional: IPA
02BF	ʿ	uni02BF	MODIFIER LETTER LEFT HALF RING	optional: IPA
02D0	ː	uni02D0	MODIFIER LETTER TRIANGULAR COLON	optional: IPA
02E0	ˠ	uni02E0	MODIFIER LETTER SMALL GAMMA	optional: IPA
02E4	ˤ	uni02E4	MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	optional: IPA
0303	̃	tildecomb	COMBINING TILDE	optional: IPA
0361	͡	uni0361	COMBINING DOUBLE INVERTED BREVE	optional: IPA
0074,0303	t̃	uni00740303	LATIN SMALL LETTER T, COMBINING TILDE	optional: IPA, combined
00F0,0303	ð̃	uni00F00303	LATIN SMALL LETTER ETH, COMBINING TILDE	optional: IPA, combined
0064,0361,0292	d͡ʒ	uni006403610292	LATIN SMALL LETTER D, COMBINING DOUBLE INVERTED BREVE, LATIN SMALL LETTER EZH	optional: IPA, combined
