Unicode(s)	Character(s)	Glyph name	Character name(s)	Notes
01E8	Ǩ	uni01E8	LATIN CAPITAL LETTER K WITH CARON	
01E9	ǩ	uni01E9	LATIN SMALL LETTER K WITH CARON	
1E60	Ṡ	uni1E60	LATIN CAPITAL LETTER S WITH DOT ABOVE	also in AAR5R
1E61	ṡ	uni1E61	LATIN SMALL LETTER S WITH DOT ABOVE	also in AAR5R
1E8E	Ẏ	uni1E8E	LATIN CAPITAL LETTER Y WITH DOT ABOVE	
1E8F	ẏ	uni1E8F	LATIN SMALL LETTER Y WITH DOT ABOVE	
1EA0	Ạ	uni1EA0	LATIN CAPITAL LETTER A WITH DOT BELOW	also in AAR5R
1EA1	ạ	uni1EA1	LATIN SMALL LETTER A WITH DOT BELOW	also in AAR5R
1ECC	Ọ	uni1ECC	LATIN CAPITAL LETTER O WITH DOT BELOW	
1ECD	ọ	uni1ECD	LATIN SMALL LETTER O WITH DOT BELOW	
02B9	ʹ	uni02B9	MODIFIER LETTER PRIME	
0323	̣	dotbelowcomb	COMBINING DOT BELOW	
1EA0,0304	Ạ̄	uni1EA00304	LATIN CAPITAL LETTER A WITH DOT BELOW, COMBINING MACRON	optional: combined
1EA1,0304	ạ̄	uni1EA10304	LATIN SMALL LETTER A WITH DOT BELOW, COMBINING MACRON	optional: combined
010C,0323	Č̣	uni010C0323	LATIN CAPITAL LETTER C WITH CARON, COMBINING DOT BELOW	optional: combined
010D,0323	č̣	uni010D0323	LATIN SMALL LETTER C WITH CARON, COMBINING DOT BELOW	optional: combined
1D91	ᶑ	uni1D91	LATIN SMALL LETTER D WITH HOOK AND TAIL	optional: IPA
AB67	ꭧ	uniAB67	LATIN SMALL LETTER TS DIGRAPH WITH RETROFLEX HOOK	optional: IPA
0253	ɓ	uni0253	LATIN SMALL LETTER B WITH HOOK	optional: IPA; also in AAR5R
0255	ɕ	uni0255	LATIN SMALL LETTER C WITH CURL	optional: IPA; also in AAR3R and AAR5R
0260	ɠ	uni0260	LATIN SMALL LETTER G WITH HOOK	optional: IPA; also in AAR5R
026D	ɭ	uni026D	LATIN SMALL LETTER L WITH RETROFLEX HOOK	optional: IPA
0272	ɲ	uni0272	LATIN SMALL LETTER N WITH LEFT HOOK	optional: IPA; also in AAR5R
0281	ʁ	uni0281	LATIN LETTER SMALL CAPITAL INVERTED R	optional: IPA; also in AAR3R
0282	ʂ	uni0282	LATIN SMALL LETTER S WITH HOOK	optional: IPA; also in AAR5R
0284	ʄ	uni0284	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK	optional: IPA; also in AAR5R
02A3	ʣ	uni02A3	LATIN SMALL LETTER DZ DIGRAPH	optional: IPA; also in AAR5R
02A6	ʦ	uni02A6	LATIN SMALL LETTER TS DIGRAPH	optional: IPA; also in AAR3R and AAR5R
02B2	ʲ	uni02B2	MODIFIER LETTER SMALL J	optional: IPA
0288,0361,0282	ʈ͡ʂ	uni028803610282	LATIN SMALL LETTER T WITH RETROFLEX HOOK, COMBINING DOUBLE INVERTED BREVE, LATIN SMALL LETTER S WITH HOOK	optional: IPA, combined
0064,0361,007A	d͡z	uni00640361007A	LATIN SMALL LETTER D, COMBINING DOUBLE INVERTED BREVE, LATIN SMALL LETTER Z	optional: IPA, combined; also in AAR5R
0074,0361,0073	t͡s	uni007403610073	LATIN SMALL LETTER T, COMBINING DOUBLE INVERTED BREVE, LATIN SMALL LETTER S	optional: IPA, combined; also in AAR5R
